permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
184,,Historic,App_1393,,,,,,,,1,
185,,Historic,App_1394,,,,,,,,1,
186,,Historic,App_1395,,,,,,,,2,
187,,Historic,App_1396,,,,,,,,1,
188,,Historic,App_1397,,,,,,,,2,"Applicant had permit 188 for the birds she previously owned (now dead), but not for the new ones."
189,,Historic,App_1398,,,,,,,,2,
190,,Historic,App_1399,,,,,,,,1,
191,,Historic,App_1400,,,,,,,,1,
192,,Historic,App_1401,,,,,,,,1,
193,,Historic,App_1402,,,,,,,,1,
194,,Historic,App_1403,,,,,,,,1,
195,,Historic,App_1404,,,,,,,,1,
196,,Historic,App_1405,,,,,,,,2,
197,,Historic,App_1406,,,,,,,,1,
198,,Historic,App_1407,,,,,,,,2,
199,,Historic,App_1408,,,,,,,,2,
200,,Historic,App_1409,,,,,,,,1,
201,192,2024 FD Database,App_5,285,Active,,Belmopan,FD/GEN/423/14,,Processing,2,
201,192,Call,App_1142,,,,Belmopan,,2021-08-03,,1,Permit lost by applicant
202,193,2024 FD Database,App_23,286,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
202,193,Historic,App_770,,,,Belmopan,,2021-08-03,,1,
203,194,2024 FD Database,App_809,287,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
203,194,Call,App_1640,,,,Belmopan,,2021-08-08,,1,"Applicant said no permit was given, but the bird has a band. Hwever, permit 203 associated with this applicant."
204,195,2024 FD Database,App_129,288,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
205,196,Historic,App_1311,,Active,,Belmopan,FD/GEN/42/3/14,,,1,
206,197,2024 FD Database,App_338,290,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
207,198,2024 FD Database,App_1121,291,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
208,199,2024 FD Database,App_1195,292,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
209,200,2024 FD Database,App_593,293,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
210,201,2024 FD Database,App_593,293,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
211,202,2024 FD Database,App_108,295,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
212,203,2024 FD Database,App_1048,296,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
213,204,2024 FD Database,App_168,297,Active,,Belmopan,FD/GEN/42/3/14,,Active,2,
214,205,2024 FD Database,App_839,298,Active,,Belmopan,fd/gen/42/3/14,,Active,2,
215,206,2024 FD Database,App_239,299,Active,,Belmopan,FD/GEN/42/3/14,,Active,1,
